Birthday,Age Segment,Marital Status,Sex,Age Group,sid
1930,85 years and over,*,*,*,161
1929,85 years and over,*,*,*,162
1928,85 years and over,*,*,*,163
*,*,Married(a),*,*,164
*,*,Separated,*,*,165
*,*,Divorced,*,*,166
*,*,Widowed,*,*,167
*,*,Never married,*,*,168
2003,*,Married(a),*,*,179
2003,*,Separated,*,*,180
2002,*,Divorced,*,*,181
2002,*,Widowed,*,*,182
2001,*,Never married,*,*,183
2001,*,Married(a),*,*,184
2000,*,Separated,*,*,185
2000,*,Divorced,*,*,186
1999,*,Widowed,*,*,187
1999,*,Never married,*,*,188
1998,*,Married(a),*,*,189
1998,*,Separated,*,*,190
1997,*,Divorced,*,*,191
1997,*,Widowed,*,*,192
1996,*,Never married,*,*,193
1996,*,Married(a),*,*,194
1995,*,Separated,*,*,195
1995,*,Divorced,*,*,196
1994,*,Widowed,*,*,197
1994,*,Never married,*,*,198
1993,*,Married(a),*,*,199
1992,*,Separated,*,*,200
1991,*,Divorced,*,*,201
1990,*,Widowed,*,*,202
1989,*,Never married,*,*,203
1988,*,Married(a),*,*,204
1987,*,Separated,*,*,205
1986,*,Divorced,*,*,206
1985,*,Widowed,*,*,207
1984,*,Never married,*,*,208
1983,*,Married(a),*,*,209
1982,*,Separated,*,*,210
1981,*,Divorced,*,*,211
1980,*,Widowed,*,*,212
1979,*,Never married,*,*,213
1978,*,Married(a),*,*,214
1977,*,Separated,*,*,215
1976,*,Divorced,*,*,216
1975,*,Widowed,*,*,217
1974,*,Never married,*,*,218
1973,*,Married(a),*,*,219
1972,*,Separated,*,*,220
1971,*,Divorced,*,*,221
1970,*,Widowed,*,*,222
1969,*,Never married,*,*,223
1968,*,Married(a),*,*,224
1967,*,Separated,*,*,225
1966,*,Divorced,*,*,226
1965,*,Widowed,*,*,227
1964,*,Never married,*,*,228
1963,*,Married(a),*,*,229
1962,*,Separated,*,*,230
1961,*,Divorced,*,*,231
1960,*,Widowed,*,*,232
1959,*,Never married,*,*,233
1958,*,Married(a),*,*,234
1957,*,Separated,*,*,235
1956,*,Divorced,*,*,236
1955,*,Widowed,*,*,237
1954,*,Never married,*,*,238
1953,*,Married(a),*,*,239
1952,*,Separated,*,*,240
1951,*,Divorced,*,*,241
1950,*,Widowed,*,*,242
1949,*,Never married,*,*,243
1948,*,Married(a),*,*,244
1947,*,Separated,*,*,245
1946,*,Divorced,*,*,246
1945,*,Widowed,*,*,247
1944,*,Never married,*,*,248
1943,*,Married(a),*,*,249
1942,*,Separated,*,*,250
1941,*,Divorced,*,*,251
1940,*,Widowed,*,*,252
1939,*,Never married,*,*,253
1938,*,Married(a),*,*,254
1937,*,Separated,*,*,255
1936,*,Divorced,*,*,256
1935,*,Widowed,*,*,257
1934,*,Never married,*,*,258
1933,*,Married(a),*,*,259
1933,*,Separated,*,*,260
1932,*,Divorced,*,*,261
1931,*,Widowed,*,*,262
1930,*,Never married,*,*,263
1930,*,Married(a),*,*,264
1930,*,Separated,*,*,265
1929,*,Divorced,*,*,266
1929,*,Widowed,*,*,267
1928,*,Never married,*,*,268
*,15-19 years,Married(a),*,*,269
*,15-19 years,Separated,*,*,270
*,15-19 years,Divorced,*,*,271
*,15-19 years,Widowed,*,*,272
*,15-19 years,Never married,*,*,273
*,20-24 years,Married(a),*,*,274
*,20-24 years,Separated,*,*,275
*,20-24 years,Divorced,*,*,276
*,20-24 years,Widowed,*,*,277
*,20-24 years,Never married,*,*,278
*,25-34 years,Married(a),*,*,279
*,25-34 years,Separated,*,*,280
*,25-34 years,Divorced,*,*,281
*,25-34 years,Widowed,*,*,282
*,25-34 years,Never married,*,*,283
*,35-44 years,Married(a),*,*,284
*,35-44 years,Separated,*,*,285
*,35-44 years,Divorced,*,*,286
*,35-44 years,Widowed,*,*,287
*,35-44 years,Never married,*,*,288
*,45-54 years,Married(a),*,*,289
*,45-54 years,Separated,*,*,290
*,45-54 years,Divorced,*,*,291
*,45-54 years,Widowed,*,*,292
*,45-54 years,Never married,*,*,293
*,55-64 years,Married(a),*,*,294
*,55-64 years,Separated,*,*,295
*,55-64 years,Divorced,*,*,296
*,55-64 years,Widowed,*,*,297
*,55-64 years,Never married,*,*,298
*,65-74 years,Married(a),*,*,299
*,65-74 years,Separated,*,*,300
*,65-74 years,Divorced,*,*,301
*,65-74 years,Widowed,*,*,302
*,65-74 years,Never married,*,*,303
*,75-84 years,Married(a),*,*,304
*,75-84 years,Separated,*,*,305
*,75-84 years,Divorced,*,*,306
*,75-84 years,Widowed,*,*,307
*,75-84 years,Never married,*,*,308
*,85 years and over,Married(a),*,*,309
*,85 years and over,Separated,*,*,310
*,85 years and over,Divorced,*,*,311
*,85 years and over,Widowed,*,*,312
*,85 years and over,Never married,*,*,313
2003,15-19 years,Married(a),*,*,314
2003,15-19 years,Separated,*,*,315
2002,15-19 years,Divorced,*,*,316
2002,15-19 years,Widowed,*,*,317
2001,15-19 years,Never married,*,*,318
2001,15-19 years,Married(a),*,*,319
2000,15-19 years,Separated,*,*,320
2000,15-19 years,Divorced,*,*,321
1999,15-19 years,Widowed,*,*,322
1999,15-19 years,Never married,*,*,323
1998,20-24 years,Married(a),*,*,324
1998,20-24 years,Separated,*,*,325
1997,20-24 years,Divorced,*,*,326
1997,20-24 years,Widowed,*,*,327
1996,20-24 years,Never married,*,*,328
1996,20-24 years,Married(a),*,*,329
1995,20-24 years,Separated,*,*,330
1995,20-24 years,Divorced,*,*,331
1994,20-24 years,Widowed,*,*,332
1994,20-24 years,Never married,*,*,333
1993,25-34 years,Married(a),*,*,334
1992,25-34 years,Separated,*,*,335
1991,25-34 years,Divorced,*,*,336
1990,25-34 years,Widowed,*,*,337
1989,25-34 years,Never married,*,*,338
1988,25-34 years,Married(a),*,*,339
1987,25-34 years,Separated,*,*,340
1986,25-34 years,Divorced,*,*,341
1985,25-34 years,Widowed,*,*,342
1984,25-34 years,Never married,*,*,343
1983,35-44 years,Married(a),*,*,344
1982,35-44 years,Separated,*,*,345
1981,35-44 years,Divorced,*,*,346
1980,35-44 years,Widowed,*,*,347
1979,35-44 years,Never married,*,*,348
1978,35-44 years,Married(a),*,*,349
1977,35-44 years,Separated,*,*,350
1976,35-44 years,Divorced,*,*,351
1975,35-44 years,Widowed,*,*,352
1974,35-44 years,Never married,*,*,353
1973,45-54 years,Married(a),*,*,354
1972,45-54 years,Separated,*,*,355
1971,45-54 years,Divorced,*,*,356
1970,45-54 years,Widowed,*,*,357
1969,45-54 years,Never married,*,*,358
1968,45-54 years,Married(a),*,*,359
1967,45-54 years,Separated,*,*,360
1966,45-54 years,Divorced,*,*,361
1965,45-54 years,Widowed,*,*,362
1964,45-54 years,Never married,*,*,363
1963,55-64 years,Married(a),*,*,364
1962,55-64 years,Separated,*,*,365
1961,55-64 years,Divorced,*,*,366
1960,55-64 years,Widowed,*,*,367
1959,55-64 years,Never married,*,*,368
1958,55-64 years,Married(a),*,*,369
1957,55-64 years,Separated,*,*,370
1956,55-64 years,Divorced,*,*,371
1955,55-64 years,Widowed,*,*,372
1954,55-64 years,Never married,*,*,373
1953,65-74 years,Married(a),*,*,374
1952,65-74 years,Separated,*,*,375
1951,65-74 years,Divorced,*,*,376
1950,65-74 years,Widowed,*,*,377
1949,65-74 years,Never married,*,*,378
1948,65-74 years,Married(a),*,*,379
1947,65-74 years,Separated,*,*,380
1946,65-74 years,Divorced,*,*,381
1945,65-74 years,Widowed,*,*,382
1944,65-74 years,Never married,*,*,383
1943,75-84 years,Married(a),*,*,384
1942,75-84 years,Separated,*,*,385
1941,75-84 years,Divorced,*,*,386
1940,75-84 years,Widowed,*,*,387
1939,75-84 years,Never married,*,*,388
1938,75-84 years,Married(a),*,*,389
1937,75-84 years,Separated,*,*,390
1936,75-84 years,Divorced,*,*,391
1935,75-84 years,Widowed,*,*,392
1934,75-84 years,Never married,*,*,393
1933,85 years and over,Married(a),*,*,394
1933,85 years and over,Separated,*,*,395
1932,85 years and over,Divorced,*,*,396
1931,85 years and over,Widowed,*,*,397
1930,85 years and over,Never married,*,*,398
1930,85 years and over,Married(a),*,*,399
1930,85 years and over,Separated,*,*,400
1929,85 years and over,Divorced,*,*,401
1929,85 years and over,Widowed,*,*,402
1928,85 years and over,Never married,*,*,403
*,*,*,Male,*,404
*,*,*,Female,*,405
2003,*,*,Male,*,410
2002,*,*,Male,*,411
2001,*,*,Male,*,412
2001,*,*,Female,*,413
2000,*,*,Female,*,414
1999,*,*,Female,*,415
1998,*,*,Male,*,416
1997,*,*,Male,*,417
1996,*,*,Male,*,418
1996,*,*,Female,*,419
1995,*,*,Female,*,420
1994,*,*,Female,*,421
1993,*,*,Male,*,422
1992,*,*,Male,*,423
1991,*,*,Male,*,424
1990,*,*,Male,*,425
1989,*,*,Male,*,426
1988,*,*,Female,*,427
1987,*,*,Female,*,428
1986,*,*,Female,*,429
1985,*,*,Female,*,430
1984,*,*,Female,*,431
1983,*,*,Male,*,432
1982,*,*,Male,*,433
1981,*,*,Male,*,434
1980,*,*,Male,*,435
1979,*,*,Male,*,436
1978,*,*,Female,*,437
1977,*,*,Female,*,438
1976,*,*,Female,*,439
1975,*,*,Female,*,440
1974,*,*,Female,*,441
1973,*,*,Male,*,442
1972,*,*,Male,*,443
1971,*,*,Male,*,444
1970,*,*,Male,*,445
1969,*,*,Male,*,446
1968,*,*,Female,*,447
1967,*,*,Female,*,448
1966,*,*,Female,*,449
1965,*,*,Female,*,450
1964,*,*,Female,*,451
1963,*,*,Male,*,452
1962,*,*,Male,*,453
1961,*,*,Male,*,454
1960,*,*,Male,*,455
1959,*,*,Male,*,456
1958,*,*,Female,*,457
1957,*,*,Female,*,458
1956,*,*,Female,*,459
1955,*,*,Female,*,460
1954,*,*,Female,*,461
1953,*,*,Male,*,462
1952,*,*,Male,*,463
1951,*,*,Male,*,464
1950,*,*,Male,*,465
1949,*,*,Male,*,466
1948,*,*,Female,*,467
1947,*,*,Female,*,468
1946,*,*,Female,*,469
1945,*,*,Female,*,470
1944,*,*,Female,*,471
1943,*,*,Male,*,472
1942,*,*,Male,*,473
1941,*,*,Male,*,474
1940,*,*,Male,*,475
1939,*,*,Male,*,476
1938,*,*,Female,*,477
1937,*,*,Female,*,478
1936,*,*,Female,*,479
1935,*,*,Female,*,480
1934,*,*,Female,*,481
1933,*,*,Male,*,482
1932,*,*,Male,*,483
1931,*,*,Male,*,484
1930,*,*,Male,*,485
1930,*,*,Female,*,486
1929,*,*,Female,*,487
1928,*,*,Female,*,488
*,15-19 years,*,Male,*,489
*,15-19 years,*,Female,*,490
*,20-24 years,*,Male,*,491
*,20-24 years,*,Female,*,492
*,25-34 years,*,Male,*,493
*,25-34 years,*,Female,*,494
*,35-44 years,*,Male,*,495
*,35-44 years,*,Female,*,496
*,45-54 years,*,Male,*,497
*,45-54 years,*,Female,*,498
*,55-64 years,*,Male,*,499
*,55-64 years,*,Female,*,500
*,65-74 years,*,Male,*,501
*,65-74 years,*,Female,*,502
*,75-84 years,*,Male,*,503
*,75-84 years,*,Female,*,504
*,85 years and over,*,Male,*,505
*,85 years and over,*,Female,*,506
2003,15-19 years,*,Male,*,507
2002,15-19 years,*,Male,*,508
2001,15-19 years,*,Male,*,509
2001,15-19 years,*,Female,*,510
2000,15-19 years,*,Female,*,511
1999,15-19 years,*,Female,*,512
1998,20-24 years,*,Male,*,513
1997,20-24 years,*,Male,*,514
1996,20-24 years,*,Male,*,515
1996,20-24 years,*,Female,*,516
1995,20-24 years,*,Female,*,517
1994,20-24 years,*,Female,*,518
1993,25-34 years,*,Male,*,519
1992,25-34 years,*,Male,*,520
1991,25-34 years,*,Male,*,521
1990,25-34 years,*,Male,*,522
1989,25-34 years,*,Male,*,523
1988,25-34 years,*,Female,*,524
1987,25-34 years,*,Female,*,525
1986,25-34 years,*,Female,*,526
1985,25-34 years,*,Female,*,527
1984,25-34 years,*,Female,*,528
1983,35-44 years,*,Male,*,529
1982,35-44 years,*,Male,*,530
1981,35-44 years,*,Male,*,531
1980,35-44 years,*,Male,*,532
1979,35-44 years,*,Male,*,533
1978,35-44 years,*,Female,*,534
1977,35-44 years,*,Female,*,535
1976,35-44 years,*,Female,*,536
1975,35-44 years,*,Female,*,537
1974,35-44 years,*,Female,*,538
1973,45-54 years,*,Male,*,539
1972,45-54 years,*,Male,*,540
1971,45-54 years,*,Male,*,541
1970,45-54 years,*,Male,*,542
1969,45-54 years,*,Male,*,543
1968,45-54 years,*,Female,*,544
1967,45-54 years,*,Female,*,545
1966,45-54 years,*,Female,*,546
1965,45-54 years,*,Female,*,547
1964,45-54 years,*,Female,*,548
1963,55-64 years,*,Male,*,549
1962,55-64 years,*,Male,*,550
1961,55-64 years,*,Male,*,551
1960,55-64 years,*,Male,*,552
1959,55-64 years,*,Male,*,553
1958,55-64 years,*,Female,*,554
1957,55-64 years,*,Female,*,555
1956,55-64 years,*,Female,*,556
1955,55-64 years,*,Female,*,557
1954,55-64 years,*,Female,*,558
1953,65-74 years,*,Male,*,559
1952,65-74 years,*,Male,*,560
1951,65-74 years,*,Male,*,561
1950,65-74 years,*,Male,*,562
1949,65-74 years,*,Male,*,563
1948,65-74 years,*,Female,*,564
1947,65-74 years,*,Female,*,565
1946,65-74 years,*,Female,*,566
1945,65-74 years,*,Female,*,567
1944,65-74 years,*,Female,*,568
1943,75-84 years,*,Male,*,569
1942,75-84 years,*,Male,*,570
1941,75-84 years,*,Male,*,571
1940,75-84 years,*,Male,*,572
1939,75-84 years,*,Male,*,573
1938,75-84 years,*,Female,*,574
1937,75-84 years,*,Female,*,575
1936,75-84 years,*,Female,*,576
1935,75-84 years,*,Female,*,577
1934,75-84 years,*,Female,*,578
1933,85 years and over,*,Male,*,579
1932,85 years and over,*,Male,*,580
1931,85 years and over,*,Male,*,581
1930,85 years and over,*,Male,*,582
1930,85 years and over,*,Female,*,583
1929,85 years and over,*,Female,*,584
1928,85 years and over,*,Female,*,585
*,*,Married(a),Male,*,586
*,*,Separated,Male,*,587
*,*,Divorced,Male,*,588
*,*,Widowed,Male,*,589
*,*,Never married,Male,*,590
*,*,Married(a),Female,*,591
*,*,Separated,Female,*,592
*,*,Divorced,Female,*,593
*,*,Widowed,Female,*,594
*,*,Never married,Female,*,595
2003,*,Married(a),Male,*,616
2003,*,Separated,Male,*,617
2002,*,Divorced,Male,*,618
2002,*,Widowed,Male,*,619
2001,*,Never married,Male,*,620
2001,*,Married(a),Female,*,621
2000,*,Separated,Female,*,622
2000,*,Divorced,Female,*,623
1999,*,Widowed,Female,*,624
1999,*,Never married,Female,*,625
1998,*,Married(a),Male,*,626
1998,*,Separated,Male,*,627
1997,*,Divorced,Male,*,628
1997,*,Widowed,Male,*,629
1996,*,Never married,Male,*,630
1996,*,Married(a),Female,*,631
1995,*,Separated,Female,*,632
1995,*,Divorced,Female,*,633
1994,*,Widowed,Female,*,634
1994,*,Never married,Female,*,635
1993,*,Married(a),Male,*,636
1992,*,Separated,Male,*,637
1991,*,Divorced,Male,*,638
1990,*,Widowed,Male,*,639
1989,*,Never married,Male,*,640
1988,*,Married(a),Female,*,641
1987,*,Separated,Female,*,642
1986,*,Divorced,Female,*,643
1985,*,Widowed,Female,*,644
1984,*,Never married,Female,*,645
1983,*,Married(a),Male,*,646
1982,*,Separated,Male,*,647
1981,*,Divorced,Male,*,648
1980,*,Widowed,Male,*,649
1979,*,Never married,Male,*,650
1978,*,Married(a),Female,*,651
1977,*,Separated,Female,*,652
1976,*,Divorced,Female,*,653
1975,*,Widowed,Female,*,654
1974,*,Never married,Female,*,655
1973,*,Married(a),Male,*,656
1972,*,Separated,Male,*,657
1971,*,Divorced,Male,*,658
1970,*,Widowed,Male,*,659
1969,*,Never married,Male,*,660
1968,*,Married(a),Female,*,661
1967,*,Separated,Female,*,662
1966,*,Divorced,Female,*,663
1965,*,Widowed,Female,*,664
1964,*,Never married,Female,*,665
1963,*,Married(a),Male,*,666
1962,*,Separated,Male,*,667
1961,*,Divorced,Male,*,668
1960,*,Widowed,Male,*,669
1959,*,Never married,Male,*,670
1958,*,Married(a),Female,*,671
1957,*,Separated,Female,*,672
1956,*,Divorced,Female,*,673
1955,*,Widowed,Female,*,674
1954,*,Never married,Female,*,675
1953,*,Married(a),Male,*,676
1952,*,Separated,Male,*,677
1951,*,Divorced,Male,*,678
1950,*,Widowed,Male,*,679
1949,*,Never married,Male,*,680
1948,*,Married(a),Female,*,681
1947,*,Separated,Female,*,682
1946,*,Divorced,Female,*,683
1945,*,Widowed,Female,*,684
1944,*,Never married,Female,*,685
1943,*,Married(a),Male,*,686
1942,*,Separated,Male,*,687
1941,*,Divorced,Male,*,688
1940,*,Widowed,Male,*,689
1939,*,Never married,Male,*,690
1938,*,Married(a),Female,*,691
1937,*,Separated,Female,*,692
1936,*,Divorced,Female,*,693
1935,*,Widowed,Female,*,694
1934,*,Never married,Female,*,695
1933,*,Married(a),Male,*,696
1933,*,Separated,Male,*,697
1932,*,Divorced,Male,*,698
1931,*,Widowed,Male,*,699
1930,*,Never married,Male,*,700
1930,*,Married(a),Female,*,701
1930,*,Separated,Female,*,702
1929,*,Divorced,Female,*,703
1929,*,Widowed,Female,*,704
1928,*,Never married,Female,*,705
*,15-19 years,Married(a),Male,*,706
*,15-19 years,Separated,Male,*,707
*,15-19 years,Divorced,Male,*,708
*,15-19 years,Widowed,Male,*,709
*,15-19 years,Never married,Male,*,710
*,15-19 years,Married(a),Female,*,711
*,15-19 years,Separated,Female,*,712
*,15-19 years,Divorced,Female,*,713
*,15-19 years,Widowed,Female,*,714
*,15-19 years,Never married,Female,*,715
*,20-24 years,Married(a),Male,*,716
*,20-24 years,Separated,Male,*,717
*,20-24 years,Divorced,Male,*,718
*,20-24 years,Widowed,Male,*,719
*,20-24 years,Never married,Male,*,720
*,20-24 years,Married(a),Female,*,721
*,20-24 years,Separated,Female,*,722
*,20-24 years,Divorced,Female,*,723
*,20-24 years,Widowed,Female,*,724
*,20-24 years,Never married,Female,*,725
*,25-34 years,Married(a),Male,*,726
*,25-34 years,Separated,Male,*,727
*,25-34 years,Divorced,Male,*,728
*,25-34 years,Widowed,Male,*,729
*,25-34 years,Never married,Male,*,730
*,25-34 years,Married(a),Female,*,731
*,25-34 years,Separated,Female,*,732
*,25-34 years,Divorced,Female,*,733
*,25-34 years,Widowed,Female,*,734
*,25-34 years,Never married,Female,*,735
*,35-44 years,Married(a),Male,*,736
*,35-44 years,Separated,Male,*,737
*,35-44 years,Divorced,Male,*,738
*,35-44 years,Widowed,Male,*,739
*,35-44 years,Never married,Male,*,740
*,35-44 years,Married(a),Female,*,741
*,35-44 years,Separated,Female,*,742
*,35-44 years,Divorced,Female,*,743
*,35-44 years,Widowed,Female,*,744
*,35-44 years,Never married,Female,*,745
*,45-54 years,Married(a),Male,*,746
*,45-54 years,Separated,Male,*,747
*,45-54 years,Divorced,Male,*,748
*,45-54 years,Widowed,Male,*,749
*,45-54 years,Never married,Male,*,750
*,45-54 years,Married(a),Female,*,751
*,45-54 years,Separated,Female,*,752
*,45-54 years,Divorced,Female,*,753
*,45-54 years,Widowed,Female,*,754
*,45-54 years,Never married,Female,*,755
*,55-64 years,Married(a),Male,*,756
*,55-64 years,Separated,Male,*,757
*,55-64 years,Divorced,Male,*,758
*,55-64 years,Widowed,Male,*,759
*,55-64 years,Never married,Male,*,760
*,55-64 years,Married(a),Female,*,761
*,55-64 years,Separated,Female,*,762
*,55-64 years,Divorced,Female,*,763
*,55-64 years,Widowed,Female,*,764
*,55-64 years,Never married,Female,*,765
*,65-74 years,Married(a),Male,*,766
*,65-74 years,Separated,Male,*,767
*,65-74 years,Divorced,Male,*,768
*,65-74 years,Widowed,Male,*,769
*,65-74 years,Never married,Male,*,770
*,65-74 years,Married(a),Female,*,771
*,65-74 years,Separated,Female,*,772
*,65-74 years,Divorced,Female,*,773
*,65-74 years,Widowed,Female,*,774
*,65-74 years,Never married,Female,*,775
*,75-84 years,Married(a),Male,*,776
*,75-84 years,Separated,Male,*,777
*,75-84 years,Divorced,Male,*,778
*,75-84 years,Widowed,Male,*,779
*,75-84 years,Never married,Male,*,780
*,75-84 years,Married(a),Female,*,781
*,75-84 years,Separated,Female,*,782
*,75-84 years,Divorced,Female,*,783
*,75-84 years,Widowed,Female,*,784
*,75-84 years,Never married,Female,*,785
*,85 years and over,Married(a),Male,*,786
*,85 years and over,Separated,Male,*,787
*,85 years and over,Divorced,Male,*,788
*,85 years and over,Widowed,Male,*,789
*,85 years and over,Never married,Male,*,790
*,85 years and over,Married(a),Female,*,791
*,85 years and over,Separated,Female,*,792
*,85 years and over,Divorced,Female,*,793
*,85 years and over,Widowed,Female,*,794
*,85 years and over,Never married,Female,*,795
2003,15-19 years,Married(a),Male,*,796
2003,15-19 years,Separated,Male,*,797
2002,15-19 years,Divorced,Male,*,798
2002,15-19 years,Widowed,Male,*,799
2001,15-19 years,Never married,Male,*,800
2001,15-19 years,Married(a),Female,*,801
2000,15-19 years,Separated,Female,*,802
2000,15-19 years,Divorced,Female,*,803
1999,15-19 years,Widowed,Female,*,804
1999,15-19 years,Never married,Female,*,805
1998,20-24 years,Married(a),Male,*,806
1998,20-24 years,Separated,Male,*,807
1997,20-24 years,Divorced,Male,*,808
1997,20-24 years,Widowed,Male,*,809
1996,20-24 years,Never married,Male,*,810
1996,20-24 years,Married(a),Female,*,811
1995,20-24 years,Separated,Female,*,812
1995,20-24 years,Divorced,Female,*,813
1994,20-24 years,Widowed,Female,*,814
1994,20-24 years,Never married,Female,*,815
1993,25-34 years,Married(a),Male,*,816
1992,25-34 years,Separated,Male,*,817
1991,25-34 years,Divorced,Male,*,818
1990,25-34 years,Widowed,Male,*,819
1989,25-34 years,Never married,Male,*,820
1988,25-34 years,Married(a),Female,*,821
1987,25-34 years,Separated,Female,*,822
1986,25-34 years,Divorced,Female,*,823
1985,25-34 years,Widowed,Female,*,824
1984,25-34 years,Never married,Female,*,825
1983,35-44 years,Married(a),Male,*,826
1982,35-44 years,Separated,Male,*,827
1981,35-44 years,Divorced,Male,*,828
1980,35-44 years,Widowed,Male,*,829
1979,35-44 years,Never married,Male,*,830
1978,35-44 years,Married(a),Female,*,831
1977,35-44 years,Separated,Female,*,832
1976,35-44 years,Divorced,Female,*,833
1975,35-44 years,Widowed,Female,*,834
1974,35-44 years,Never married,Female,*,835
1973,45-54 years,Married(a),Male,*,836
1972,45-54 years,Separated,Male,*,837
1971,45-54 years,Divorced,Male,*,838
1970,45-54 years,Widowed,Male,*,839
1969,45-54 years,Never married,Male,*,840
1968,45-54 years,Married(a),Female,*,841
1967,45-54 years,Separated,Female,*,842
1966,45-54 years,Divorced,Female,*,843
1965,45-54 years,Widowed,Female,*,844
1964,45-54 years,Never married,Female,*,845
1963,55-64 years,Married(a),Male,*,846
1962,55-64 years,Separated,Male,*,847
1961,55-64 years,Divorced,Male,*,848
1960,55-64 years,Widowed,Male,*,849
1959,55-64 years,Never married,Male,*,850
1958,55-64 years,Married(a),Female,*,851
